epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,457.439,1.05997,0.62365,0.96282,0.82422,0.78557,0.82375,0.56681,0.90252,0.5276,0.88575,0.00104231,0.00104231,0.00104231
43,468.286,1.05531,0.64797,0.97819,0.82882,0.72966,0.79568,0.54948,0.91269,0.50536,0.88361,0.00103288,0.00103288,0.00103288
44,479.024,1.01156,0.58282,0.97046,0.91089,0.74034,0.82097,0.57134,0.90065,0.50384,0.8852,0.00102345,0.00102345,0.00102345
45,490.006,1.02003,0.60397,0.9676,0.92471,0.70166,0.83632,0.58706,0.9004,0.50705,0.8915,0.00101402,0.00101402,0.00101402
46,500.741,1.03165,0.60235,0.96626,0.74304,0.7932,0.79626,0.54193,0.91168,0.534,0.89024,0.00100459,0.00100459,0.00100459
47,511.573,1.00252,0.5745,0.96279,0.8676,0.76829,0.82301,0.55573,0.93304,0.49753,0.89423,0.000995156,0.000995156,0.000995156
48,522.687,1.03273,0.58738,0.96743,0.97007,0.72279,0.84599,0.5824,0.87903,0.49213,0.87833,0.000985724,0.000985724,0.000985724
49,533.589,0.99346,0.56401,0.95467,0.70472,0.80347,0.78023,0.54315,0.89009,0.53277,0.8935,0.000976293,0.000976293,0.000976293
50,544.348,1.00113,0.58722,0.96224,0.85326,0.75154,0.82306,0.56962,0.87779,0.50796,0.87858,0.000966861,0.000966861,0.000966861
51,555.091,1.0109,0.57801,0.96258,0.92121,0.69404,0.82905,0.58035,0.87915,0.49131,0.87368,0.00095743,0.00095743,0.00095743
52,565.886,1.00351,0.56908,0.94756,0.82172,0.76886,0.84103,0.57263,0.93095,0.50506,0.90307,0.000947999,0.000947999,0.000947999
53,576.954,1.02595,0.60056,0.98123,0.88189,0.78865,0.84966,0.58956,0.8902,0.49375,0.8837,0.000938567,0.000938567,0.000938567
54,587.779,1.00612,0.58903,0.95583,0.87304,0.78038,0.85763,0.59264,0.90168,0.48712,0.88215,0.000929136,0.000929136,0.000929136
55,598.555,1.03705,0.58557,0.95593,0.91492,0.74126,0.86411,0.59013,0.89546,0.48058,0.8815,0.000919704,0.000919704,0.000919704
56,609.352,1.02902,0.60187,0.94966,0.94688,0.72486,0.83046,0.5636,0.92946,0.4908,0.89737,0.000910273,0.000910273,0.000910273
57,620.124,0.99027,0.55906,0.94443,0.7942,0.78359,0.82095,0.56977,0.89293,0.50689,0.88632,0.000900842,0.000900842,0.000900842
58,630.881,1.01357,0.58352,0.9624,0.86062,0.76599,0.85002,0.58957,0.88505,0.46078,0.88136,0.00089141,0.00089141,0.00089141
59,641.552,0.96062,0.5449,0.94762,0.91718,0.72021,0.83952,0.57471,0.89085,0.47904,0.88315,0.000881979,0.000881979,0.000881979
60,652.278,0.99424,0.56721,0.94739,0.94849,0.73202,0.8597,0.58588,0.90659,0.50089,0.88658,0.000872547,0.000872547,0.000872547
61,663.025,1.01921,0.56778,0.94084,0.8455,0.75584,0.84087,0.58431,0.87671,0.47182,0.86885,0.000863116,0.000863116,0.000863116
62,673.734,0.96681,0.557,0.95059,0.9245,0.75135,0.86575,0.59919,0.89827,0.48124,0.88174,0.000853685,0.000853685,0.000853685
63,684.541,0.9356,0.54688,0.94258,0.87888,0.76437,0.83667,0.58085,0.91078,0.4825,0.8938,0.000844253,0.000844253,0.000844253
64,695.161,1.01825,0.56293,0.93834,0.80225,0.76873,0.82938,0.56108,0.90313,0.48321,0.88586,0.000834822,0.000834822,0.000834822
65,705.931,0.995,0.55311,0.94711,0.90856,0.76244,0.84372,0.57144,0.90845,0.4705,0.89033,0.00082539,0.00082539,0.00082539
66,716.843,0.9828,0.55148,0.94651,0.88935,0.75102,0.85914,0.5781,0.90264,0.45497,0.8939,0.000815959,0.000815959,0.000815959
67,727.607,0.95665,0.53748,0.93954,0.91734,0.77323,0.87582,0.60303,0.89433,0.45614,0.87943,0.000806528,0.000806528,0.000806528
68,738.263,0.99272,0.53584,0.94368,0.92187,0.75938,0.8656,0.59986,0.88651,0.47319,0.8786,0.000797096,0.000797096,0.000797096
69,749.075,0.94204,0.5239,0.94607,0.85917,0.77703,0.85222,0.59167,0.87773,0.46953,0.87498,0.000787665,0.000787665,0.000787665
70,759.89,0.91866,0.5236,0.9389,0.87357,0.77559,0.84637,0.5901,0.89593,0.4642,0.88059,0.000778233,0.000778233,0.000778233
71,770.771,0.95429,0.53186,0.94101,0.90817,0.73632,0.85509,0.59969,0.86771,0.47559,0.87177,0.000768802,0.000768802,0.000768802
72,781.694,1.03011,0.55558,0.93691,0.96572,0.77525,0.86763,0.59846,0.88361,0.46753,0.87582,0.000759371,0.000759371,0.000759371
73,792.543,0.93056,0.53316,0.94784,0.91866,0.79393,0.8611,0.59159,0.89705,0.47394,0.88237,0.000749939,0.000749939,0.000749939
74,803.407,0.96531,0.51804,0.94336,0.88217,0.76942,0.84634,0.58635,0.89874,0.47303,0.88287,0.000740508,0.000740508,0.000740508
75,814.146,0.99779,0.5362,0.93367,0.84204,0.7993,0.85776,0.59569,0.88645,0.46909,0.88086,0.000731076,0.000731076,0.000731076
76,824.903,0.97099,0.50878,0.93386,0.78965,0.82144,0.84676,0.59244,0.87642,0.4652,0.87692,0.000721645,0.000721645,0.000721645
77,835.625,0.93244,0.50852,0.9396,0.95366,0.77999,0.89315,0.60972,0.87957,0.45777,0.87344,0.000712214,0.000712214,0.000712214
78,846.582,0.97495,0.51259,0.93258,0.9099,0.80488,0.85805,0.60632,0.8662,0.46653,0.86986,0.000702782,0.000702782,0.000702782
79,857.452,0.98075,0.52417,0.94675,0.85774,0.7922,0.86526,0.59647,0.87048,0.43886,0.87276,0.000693351,0.000693351,0.000693351
